Date,Non-Performing_Ratio,Unemployment,IGAE,Inflation,Cetes91,Monetary_Base,Equity_Price_Index
01/03/17,0.051949773,0.035439957,110.2901318,0.0582,0.0656,1372196.923,48541.55859
01/04/17,0.050530826,0.03495322,110.3877813,0.0616,0.0666,1384114.973,49261.32813
01/05/17,0.052938038,0.035453926,109.9607405,0.0631,0.0682,1376675.835,48788.44141
01/06/17,0.053484474,0.032779917,110.7348646,0.0644,0.0705,1376005.46,49857.48828
01/07/17,0.053969381,0.032499146,109.9618683,0.0666,0.0708,1369479.574,51011.87109
01/08/17,0.054597535,0.033311904,110.9957419,0.0635,0.0711,1360799.297,51210.48047
01/09/17,0.055318874,0.033392932,109.7718302,0.0637,0.0709,1354357.393,50346.05859
01/10/17,0.057531187,0.034434499,111.0992839,0.0663,0.0709,1361299.797,48625.53125
01/11/17,0.055213813,0.034885099,111.7881848,0.0677,0.0713,1393758.513,47092.44141
01/12/17,0.053214558,0.033476189,113.0591571,0.0555,0.0731,1491914.706,49354.42188
01/01/18,0.052923394,0.032822483,111.8133824,0.0534,0.0736,1506478.258,50456.17188
01/02/18,0.053710029,0.0328455,112.1926331,0.0504,0.0756,1486497.996,47437.92969
01/03/18,0.053015496,0.032726872,113.092744,0.0455,0.0765,1493163.4,46124.85156
01/04/18,0.05300034,0.03416191,112.6645372,0.0451,0.0764,1492927.183,48358.16016
01/05/18,0.053723634,0.032439909,113.1710398,0.0465,0.0774,1498650.658,44662.55078
01/06/18,0.053470549,0.033598462,112.8389878,0.0481,0.0788,1514324.82,47663.19922
01/07/18,0.053644471,0.032957639,113.1977401,0.049,0.079,1532363.342,49698.01172
01/08/18,0.053237636,0.03270012,113.5184793,0.0502,0.0789,1525380.081,49547.67969
01/09/18,0.053574031,0.033317709,113.6353627,0.049,0.0792,1511655.153,49504.16016
01/10/18,0.054272829,0.032031899,113.2098055,0.0472,0.0789,1507575.858,43942.55078
01/11/18,0.052604806,0.0333563,113.0831907,0.0483,0.0823,1549569.88,41732.78125
01/12/18,0.051017801,0.035597679,112.529727,0.0437,0.0829,1634602.374,41640.26953
01/01/19,0.050571737,0.034536773,113.3174123,0.0394,0.0823,1624982.839,43987.94141
01/02/19,0.053088667,0.034020194,113.0525933,0.04,0.0812,1588622.461,42823.80859
01/03/19,0.053150669,0.036255268,112.3126104,0.0441,0.0809,1569359.713,43281.28125
01/04/19,0.053723065,0.035361317,112.4951329,0.0428,0.0806,1578150.96,44597.32031
01/05/19,0.053364425,0.035558323,112.364871,0.0395,0.0822,1566952.213,42749.16016
01/06/19,0.052404781,0.035435498,112.5406095,0.0378,0.0826,1572815.333,43161.17188
01/07/19,0.051986956,0.035288796,112.6304898,0.0316,0.0816,1566307.132,40863.08984
01/08/19,0.051290831,0.034845064,112.964438,0.03,0.0799,1565560.006,42622.5
01/09/19,0.051832691,0.035187524,113.4061862,0.0302,0.077,1561512.253,43011.26953
01/10/19,0.052704952,0.036160547,112.8350873,0.0297,0.0758,1557586.81,43337.28125
01/11/19,0.050376553,0.035300386,112.2888862,0.0283,0.0747,1590069.407,42820.17969
01/12/19,0.048813264,0.030766108,111.9707855,0.0324,0.0731,1696556.906,43541.01953
01/01/20,0.048850399,0.036433659,113.3375574,0.037,0.0717,1707743.177,44108.30859
01/02/20,0.049554159,0.036363183,111.7124426,0.0325,0.0693,1676719.079,41324.30859
01/03/20,0.051506465,0.032986249,109.5994063,0.0215,0.0683,1696960.932,34554.53125
01/04/20,0.056033674,0.047590001,90.29091725,0.0284,0.0609,1783792.3,36470.10938
01/05/20,0.057625879,0.042874024,87.72102378,0.0333,0.0539,1823467.542,36122.73047
01/06/20,0.053439941,0.054576656,96.27707229,0.0362,0.0506,1856460.303,37716.42969
01/07/20,0.047130803,0.050232313,101.7152189,0.0405,0.0471,1900566.274,37019.67969
01/08/20,0.039814538,0.049034439,103.8249136,0.0401,0.0449,1913847.613,36840.73047
01/09/20,0.039068507,0.047894,106.6545005,0.0409,0.0441,1910040.873,37458.69141
01/10/20,0.048797744,0.045787972,107.8668565,0.0333,0.0427,1904545.265,36987.85938
01/11/20,0.062952699,0.045176678,108.5848141,0.0315,0.0429,1970923.833,41778.87109
01/12/20,0.069211313,0.040272321,108.5051678,0.0354,0.043,2057130.768,44066.87891
01/01/21,0.074865512,0.045195713,108.0607271,0.0376,0.0422,2095798.384,42985.73047
01/02/21,0.070375302,0.045035847,106.840177,0.0467,0.0412,2090182.843,44592.91016
01/03/21,0.060628888,0.044340074,109.9881047,0.0608,0.0405,2121618.223,47246.26172
01/04/21,0.055675225,0.047615015,109.634362,0.0589,0.0413,2146683.88,48009.71875
01/05/21,0.050367565,0.040986207,109.4839179,0.0588,0.0416,2143859.358,50885.94922
01/06/21,0.045340038,0.039899846,108.9613559,0.0581,0.0412,2150185.98,50289.75
01/07/21,0.040587952,0.040969181,108.8863254,0.0559,0.0461,2169048.713,50868.32031
01/08/21,0.038397841,0.040011406,107.3472299,0.06,0.0484,2174116.629,53304.73828
01/09/21,0.036601103,0.039120855,107.7312361,0.0624,0.0488,2194319.777,51385.55078
01/10/21,0.035988795,0.0382133,107.9984291,0.0737,0.0528,2206503.313,51309.83984
01/11/21,0.032980285,0.038242153,108.8740804,0.0736,0.0546,2260826.537,49698.71875
01/12/21,0.032824572,0.037484243,109.7773534,0.0707,0.0564,2381197.435,53272.44141
01/01/22,0.025114481,0.035587599,109.8585922,0.0728,0.0601,2435573.848,51330.85156
01/02/22,0.026463896,0.038195165,109.8114717,0.0745,0.0622,2439357.9,53400.60938
01/03/22,0.026736152,0.034182886,110.5995442,0.0768,0.0666,2493916.148,56536.67969
01/04/22,0.027016241,0.031186914,111.5430816,0.0765,0.0717,2508732.2,51417.96875
01/05/22,0.028503865,0.033605416,111.5684887,0.0799,0.0748,2467060.768,51752.53125
01/06/22,0.025458738,0.03323842,111.2620433,0.0815,0.0801,2460864.617,47524.44922
01/07/22,0.025663209,0.032049669,112.0037043,0.087,0.0853,2477749.906,48144.32813
01/08/22,0.025992402,0.032488211,112.2975759,0.087,0.0887,2480022.494,44919.21875
01/09/22,0.025763159,0.031205562,113.1785245,0.0841,0.0943,2484673.237,44626.80078
01/10/22,0.026718973,0.031763282,113.1806179,0.078,0.0987,2478424.481,49922.30078
01/11/22,0.025692237,0.02972786,112.7065398,0.0782,0.1017,2537113.767,51684.85938
01/12/22,0.026129447,0.029582588,113.2191964,0.0791,0.1053,2637088.358,48463.85938
01/01/23,0.027348792,0.028852587,113.8913474,0.0762,0.1088,2688671.374,54564.26953
01/02/23,0.02764552,0.027716672,113.9720781,0.0685,0.1129,2659287.129,52758.05859
01/03/23,0.028070022,0.02765592,113.5945459,0.0625,0.1159,2672737.616,53904
