"nplr_diff","unemp_diff","igae_diff","infla_diff","cetes_diff","mone_diff","epi_diff","nplr","unemp","igae","infla","cetes","mone","epi","residuals_nplr","residuals_unemp","residuals_igae","residuals_infla","residuals_cetes","residuals_mone","residuals_epi"
NA,NA,NA,NA,NA,NA,NA,0.032403082,0.036366426,84.62141805,0.0427,0.0874,323566.2161,13097.12012,NA,NA,NA,NA,NA,NA,NA
0.00902718921390333,-0.0237305180818486,0.00209497307364614,0.0277153998465471,0.0631789016215318,-0.0430572333560075,0.0515121614557703,0.032696915,0.035513591,84.79888347,0.0439,0.0931,309930.025,13789.45996,0.007807033430786,-0.0210593058742257,0.000742662397039329,0.0226508038138264,6.31788547073502e-05,-4.30571987488126e-05,0.0449297458151571
0.00946713497935647,0.0226000735431735,-0.00226273202892813,0.046727076407969,0.0451520263654679,0.00838645136349392,-0.0841230589385376,0.033007931,0.036325339,84.60722324,0.046,0.0974,312540.1677,12676.90039,0.0054040529785816,0.0121808471804982,-0.00356375495404223,0.0332159008834831,-0.014792394698148,8.38645339507434e-06,-0.0910020468343229
0.164799368023338,-0.0183459784467623,0.00452135082742711,0,0.0263439753396022,-0.0289110994835742,-0.0283148282591981,0.038921517,0.035664991,84.99062828,0.046,0.1,303633.6567,12322.99023,0.147646050765363,-0.00792385595260069,0.00422856926796725,-0.00999329875951047,-0.0212872152667843,-2.89110623847728e-05,-0.0338980013770482
-0.0864345851013244,0.030333466476272,0.00437423757484279,-0.0604887614806509,-0.00803217169726445,0.00880587122416721,0.050739699008151,0.035698642,0.036763409,85.36321177,0.0433,0.0992,306319.2226,12964.38965,-0.142602268285831,0.02347302490721,0.00149905512631726,-0.0486224684898584,-0.0493454800304983,8.80587341679014e-06,0.0445093246110363
0.0280430534781111,0.0181655187962848,-0.00769040158188083,0.0318208666110791,-0.0162605208717803,0.00186677813742797,0.0394553998567773,0.03671391,0.037437338,84.70925222,0.0447,0.0976,306891.5867,13486.12988,0.052209288466988,0.030160191808521,-0.00880180492465951,0.0418556530129544,-0.0311133887513793,1.86679344295741e-06,0.0324460199414917
0.0529124504024403,-0.0460278220672059,0.00188353184871559,-0.123672829712447,-0.00205128277055744,0.016714791560414,0.0662370851166703,0.038708846,0.035753234,84.86895515,0.0395,0.0974,312064.3258,14409.66016,0.0575114259762832,-0.0393860273645803,0.00323187573899351,-0.118230081086063,-0.00926510204915243,1.67147797767073e-05,0.0593107667097246
0.00728875449639954,-0.0400466555485575,0.0136406845609454,-0.118099541435256,-0.00514669175176863,-0.00904653944500566,-0.011619898171249,0.038992016,0.034349727,86.03455753,0.0351,0.0969,309253.9548,14243.19043,-0.00734429095336922,-0.0647454537889196,0.0101702421184726,-0.0651085807048394,-0.00819682772811036,-9.04652962651315e-06,-0.0187273725124053
0.0299964241604274,-0.0278420525638055,3.04216150261993e-05,-0.140474446858454,-0.0584340404366164,-0.00567044415959828,0.12378677686848,0.040179356,0.033406551,86.03717488,0.0305,0.0914,307505.31,16120.08008,0.0111751581003689,-0.0443284322920778,-0.00383266625243006,-0.100259559582823,-0.0583817072115831,-5.67044419848509e-06,0.117307576788435
-0.0194357753239118,-0.0241336113170196,0.00355889024682021,-0.046988509435919,-0.0210068531792946,0.00975936365149721,-0.0226077226819488,0.039405979,0.032609981,86.34391725,0.0291,0.0895,310521.0581,15759.73047,-0.0374477651057221,-0.02504725076366,0.00502927245624664,-0.00982688930021676,0.00136600262971331,9.75935537371954e-06,-0.0302791960277438
-0.0070671188090845,-0.0353796813043616,0.00928695646471311,0.134819222808952,-0.0214576273384641,0.0274418593620442,0.0657621212974835,0.039128474,0.031476421,87.14952448,0.0333,0.0876,319160.33,16830.96094,0.00798203026365157,-0.033644602932529,0.00737990239989278,0.118070144768216,-0.0146522700893544,2.74418331501726e-05,0.0594578066784676
-0.00515309195306379,0.0081701028987351,0.00530801011194182,0.16820841931749,-0.0660617506780925,0.139124797746081,0.0561306422779584,0.03892736,0.03173464,87.61334493,0.0394,0.082,366800.6,17802.71094,0.0145447006665888,0.000133559021780255,0.00381977504144581,0.107937136660013,-0.0362355608324814,0.000139124670378731,0.0489519832351954
0.0146263896345458,0.00901739821908665,0.01637536435521,-0.0494248833275233,-0.0500104205746612,-0.00906569356063081,0.0601867465694461,0.039500911,0.032022098,89.05985663,0.0375,0.078,363490.3258,18907.09961,0.0174438544951357,0.0194387071589538,0.0167969480981212,-0.0736630941873363,-0.0154838222257521,-9.0657283524449e-06,0.0530789308350446
0.0517690284613934,0.0951179985845436,-0.00779765139990296,-0.0950435486868937,-0.0299306662461887,-0.0343300317716135,-0.0106760410223909,0.041599692,0.035217539,88.36809946,0.0341,0.0757,351223.4571,18706.32031,0.0289702040419843,0.100566478299195,-0.0101016420331422,-0.0582421723194263,0.00444290940536042,0.00688327763992893,-0.0198685978708636
